日期,股票代码,名称,收盘价,股票代码,名称,收盘价
2021/12/3,'601666,平煤股份,8.59,'000001,上证指数,3607.4322
2021/12/2,'601666,平煤股份,8.22,'000001,上证指数,3573.8358
2021/12/1,'601666,平煤股份,8,'000001,上证指数,3576.8853
2021/11/30,'601666,平煤股份,7.76,'000001,上证指数,3563.8872
2021/11/29,'601666,平煤股份,7.67,'000001,上证指数,3562.6968
2021/11/26,'601666,平煤股份,7.54,'000001,上证指数,3564.0894
2021/11/25,'601666,平煤股份,7.83,'000001,上证指数,3584.1788
2021/11/24,'601666,平煤股份,7.89,'000001,上证指数,3592.7025
2021/11/23,'601666,平煤股份,7.74,'000001,上证指数,3589.0894
2021/11/22,'601666,平煤股份,7.63,'000001,上证指数,3582.0797
2021/11/19,'601666,平煤股份,7.58,'000001,上证指数,3560.3734
2021/11/18,'601666,平煤股份,7.5,'000001,上证指数,3520.7106
2021/11/17,'601666,平煤股份,7.53,'000001,上证指数,3537.3662
2021/11/16,'601666,平煤股份,7.48,'000001,上证指数,3521.7867
2021/11/15,'601666,平煤股份,7.72,'000001,上证指数,3533.3026
2021/11/12,'601666,平煤股份,7.89,'000001,上证指数,3539.1002
2021/11/11,'601666,平煤股份,8.05,'000001,上证指数,3532.7858
2021/11/10,'601666,平煤股份,8.02,'000001,上证指数,3492.4616
2021/11/9,'601666,平煤股份,8.17,'000001,上证指数,3507.0018
2021/11/8,'601666,平煤股份,8.41,'000001,上证指数,3498.6308
2021/11/5,'601666,平煤股份,8.2,'000001,上证指数,3491.5677
2021/11/4,'601666,平煤股份,8.54,'000001,上证指数,3526.8657
2021/11/3,'601666,平煤股份,8.8,'000001,上证指数,3498.5368
2021/11/2,'601666,平煤股份,8.11,'000001,上证指数,3505.6283
2021/11/1,'601666,平煤股份,8.38,'000001,上证指数,3544.4795
2021/10/29,'601666,平煤股份,8.49,'000001,上证指数,3547.3361
2021/10/28,'601666,平煤股份,8.96,'000001,上证指数,3518.4166
2021/10/27,'601666,平煤股份,9.95,'000001,上证指数,3562.3052
2021/10/26,'601666,平煤股份,10.79,'000001,上证指数,3597.6377
2021/10/25,'601666,平煤股份,10.62,'000001,上证指数,3609.8626
2021/10/22,'601666,平煤股份,10.46,'000001,上证指数,3582.6036
2021/10/21,'601666,平煤股份,11.09,'000001,上证指数,3594.7831
2021/10/20,'601666,平煤股份,10.85,'000001,上证指数,3587.0009
2021/10/19,'601666,平煤股份,12.05,'000001,上证指数,3593.1533
2021/10/18,'601666,平煤股份,12.21,'000001,上证指数,3568.1379
2021/10/15,'601666,平煤股份,11.54,'000001,上证指数,3572.3662
2021/10/14,'601666,平煤股份,10.49,'000001,上证指数,3558.2795
2021/10/13,'601666,平煤股份,10.27,'000001,上证指数,3561.7623
2021/10/12,'601666,平煤股份,11.41,'000001,上证指数,3546.9362
2021/10/11,'601666,平煤股份,12.04,'000001,上证指数,3591.7087
2021/10/8,'601666,平煤股份,11.5,'000001,上证指数,3592.1666
2021/9/30,'601666,平煤股份,12.76,'000001,上证指数,3568.1668
2021/9/29,'601666,平煤股份,11.6,'000001,上证指数,3536.2944
2021/9/28,'601666,平煤股份,11.09,'000001,上证指数,3602.2184
2021/9/27,'601666,平煤股份,10.08,'000001,上证指数,3582.8307
2021/9/24,'601666,平煤股份,10.95,'000001,上证指数,3613.0673
2021/9/23,'601666,平煤股份,12.17,'000001,上证指数,3642.2204
